Date;Secteur;Commentaire semaine;Commentaire jour;Code_entrée;Entrée;Code_plat;Plat;Code_légumes;Légumes;Code_laitage;Laitage;Code_dessert;Dessert;Code_gouter;Gouter;Code_gouter_02;Gouter_02;is_vege_day;Entrée_bio;Entrée_dur;Entrée_loc;Plat_bio;Plat_dur;Plat_loc;Légumes_bio;Légumes_dur;Légumes_loc;Laitage_bio;Laitage_dur;Laitage_loc;Dessert_bio;Dessert_dur;Dessert_loc;Gouter_bio;Gouter_dur;Gouter_loc;Gouter_02_bio;Gouter_02_dur;Gouter_02_loc;Année;AnnéeISO;Semaine;has_vege_week
2016-06-14;2;;;;Salade de maïs/ thon;;Sauté de veau marengo;AB;Gratin de courgettes;;Camembert;FLS;Fraises;;Gaufrette vanille/ compote de pommes/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;24;False
2016-06-15;3;;;;Pamplemousse;VPF;Jambon braisé froid;;Julienne de légumes;;;;Ile flottante;;Goéter fraich attitude;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;24;False
2016-06-16;3;;;;Salade grecque (concombre, tomate, féta);AB;Paëlla aux légumes;;Salade verte;EBR;Yaourt à l'abricot;;;;Pain/ confiture de fraises/ lait;;;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;24;False
2016-06-17;2;;;;Salade coradis (carotte, radis rose, persil);;Filet de lieu sauce poivrons;AB;Pommes vapeur;;Fromage ail et fines herbes;;Banane;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;24;False
2016-06-20;3;;;;Salade poitevine (chou-fleur, betterave cuite);AB;Omelette;;Pommes de terre cubes;;Edam;FLS;Abricots;;Pain/ beurre/ barre chocolatée/ lait;;;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;25;False
2016-06-21;2;;;AB;Salade de pâtes;;Sauté de poulet antillais;;Haricots beurre;;Fromage fondu;;Kiwi;;Biscuits goéter/ confiture de fraises/ lait;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;25;False
2016-06-22;3;;;FLS;Concombre sirtaki;VPF;Escalope de porc charcutire;AB;Carottes vichy, semoule;;Petits suisses;;;;Pain/ beurre/ pomme/ lait;;;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;25;False
2016-06-23;1;;;FLS;Melon;AB,VBF;Tortis bolognaise;;;;Crme dessert chocolat;;Crêpes dentelles;;Pain/ beurre/ banane/ lait;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;25;False
2016-06-24;3;;;BBC;Pâté de campagne/ salade;;Filet de lieu sauce crevettes;;Brocolis panachés;;Semoule au lait;;;;Pain/ beurre/ corbeille de fruits/ lait ou fromage;;;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;25;False
2016-06-27;2;;;AB;Salade bicolore (chou rouge et blanc, pomme, raisin sec);;Poisson pané beurre citron;;Jardinire de légumes;EBR;Yaourt à l'abricot;;;;Pain/ beurre/ barre chocolatée/ lait;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2016;2016;26;False
