Plat,vegetarien_bool_improved,detail
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Rougail de saucisse de porc OU saucisse de volaille OU Rougail végétale*,False,"[('Rougail de saucisse de porc', 'meat_or_fish'), ('saucisse de volaille', 'meat_or_fish'), ('Rougail végétale*', 'ambiguous -> nonveg')]"
Sauté de poulet marengo OU Galettes de lentilles corail*,True,"[('Sauté de poulet marengo', 'meat_or_fish'), ('Galettes de lentilles corail*', 'heuristic_veg')]"
Saumon,False,"[('Saumon', 'meat_or_fish')]"
Riz safrané,True,"[('Riz safrané', 'veg_positive')]"
Poulet Label OU Boulette de lentilles*,True,"[('Poulet Label', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Rôti de porc OU Rôti de dinde OU Mix veggie mexicain*,False,"[('Rôti de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Mix veggie mexicain*', 'ambiguous -> nonveg')]"
Hachis parmentier OU Galette de soja au citron*,True,"[('Hachis parmentier', 'ambiguous -> nonveg'), ('Galette de soja au citron*', 'veg_positive')]"
"Filet de lieu, sauce beurre et ciboulette",False,"[('Filet de lieu', 'ambiguous -> nonveg'), ('sauce beurre et ciboulette', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
"Poisson pané, citron",False,"[('Poisson pané', 'meat_or_fish'), ('citron', 'ambiguous -> nonveg')]"
Pâtes carbonara de porc OU de volaille OU végétale*,False,"[('Pâtes carbonara de porc', 'meat_and_veg -> nonveg'), ('de volaille', 'ambiguous -> nonveg'), ('végétale*', 'ambiguous -> nonveg')]"
Rôti de bœuf OU Omelette*,True,"[('Rôti de bœuf', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
"Filet de lieu, sauce tomate",False,"[('Filet de lieu', 'ambiguous -> nonveg'), ('sauce tomate', 'ambiguous -> nonveg')]"
Haricots blancs à la provençale,True,"[('Haricots blancs à la provençale', 'heuristic_veg')]"
Rôti de dinde Label OU Mix veggie indian*,False,"[('Rôti de dinde Label', 'meat_or_fish'), ('Mix veggie indian*', 'ambiguous -> nonveg')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Hachis parmentier OU Galette de soja à la tomate*,True,"[('Hachis parmentier', 'ambiguous -> nonveg'), ('Galette de soja à la tomate*', 'veg_positive')]"
Saumon à l'oseille,False,"[(""Saumon à l'oseille"", 'meat_or_fish')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Sauté de porc OU Sauté de dinde au paprika OU Galette de boulgour*,True,"[('Sauté de porc', 'meat_or_fish'), ('Sauté de dinde au paprika', 'meat_or_fish'), ('Galette de boulgour*', 'veg_positive')]"
Escalope de dinde Label sauce basquaise OU Omelette*,True,"[('Escalope de dinde Label sauce basquaise', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Nugget's OU Nugget's végétale*,False,"[(""Nugget's"", 'ambiguous -> nonveg'), (""Nugget's végétale*"", 'ambiguous -> nonveg')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Sauté de porc au paprika OU Sauté de dinde OU mix veggie indian*,False,"[('Sauté de porc au paprika', 'meat_or_fish'), ('Sauté de dinde', 'meat_or_fish'), ('mix veggie indian*', 'ambiguous -> nonveg')]"
Blanc de poulet Label sauce barbecue OU Aiguillettes de blé carotte*,False,"[('Blanc de poulet Label sauce barbecue', 'meat_or_fish'), ('Aiguillettes de blé carotte*', 'ambiguous -> nonveg')]"
Sauté de bœuf marocain OU Galette de soja au citron*,True,"[('Sauté de bœuf marocain', 'meat_or_fish'), ('Galette de soja au citron*', 'veg_positive')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Repas de réserve,False,garbage
Rôti de porc OU Rôti de dinde OU Salade de pâtes*,True,"[('Rôti de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Salade de pâtes*', 'veg_positive')]"
Galette saucisse de porc OU de volaille OU Galette gruyère et tomate cerise*,True,"[('Galette saucisse de porc', 'meat_and_veg -> nonveg'), ('de volaille', 'ambiguous -> nonveg'), ('Galette gruyère et tomate cerise*', 'veg_positive')]"
Filet de saumon froid,False,"[('Filet de saumon froid', 'meat_or_fish')]"
"Salade de lentilles, salade de pomme de terre, concombre et dés de feta",True,"[('Salade de lentilles', 'veg_positive'), ('salade de pomme de terre', 'veg_positive'), ('concombre et dés de feta', 'ambiguous -> nonveg')]"
Escalope de porc OU Rôti de dinde OU Omelette*,True,"[('Escalope de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Parmentier de courgette OU Aiguillette de blé*,False,"[('Parmentier de courgette', 'ambiguous -> nonveg'), ('Aiguillette de blé*', 'ambiguous -> nonveg')]"
Gratin de pâtes au thon,False,"[('Gratin de pâtes au thon', 'meat_and_veg -> nonveg')]"
Poulet OU Omelette*,True,"[('Poulet', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Blanquette de veau OU Galette de soja au citron*,True,"[('Blanquette de veau', 'meat_or_fish'), ('Galette de soja au citron*', 'veg_positive')]"
Sauté de bœuf au paprika OU Aiguillettes de blé carottes*,False,"[('Sauté de bœuf au paprika', 'meat_or_fish'), ('Aiguillettes de blé carottes*', 'ambiguous -> nonveg')]"
Carbonara de porc OU de volaille OU Carbonara végétale*,False,"[('Carbonara de porc', 'meat_or_fish'), ('de volaille', 'ambiguous -> nonveg'), ('Carbonara végétale*', 'ambiguous -> nonveg')]"
"Filet de lieu, beurre citron",False,"[('Filet de lieu', 'ambiguous -> nonveg'), ('beurre citron', 'ambiguous -> nonveg')]"
Escalope de porc OU de dinde OU Galette de soja tomate*,True,"[('Escalope de porc', 'meat_or_fish'), ('de dinde', 'meat_or_fish'), ('Galette de soja tomate*', 'veg_positive')]"
Galette saucisse de porc OU de volaille OU Aiguillette de blé*,False,"[('Galette saucisse de porc', 'meat_and_veg -> nonveg'), ('de volaille', 'ambiguous -> nonveg'), ('Aiguillette de blé*', 'ambiguous -> nonveg')]"
Lasagne OU Lasagne de légumes*,True,"[('Lasagne', 'veg_positive'), ('Lasagne de légumes*', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Poulet OU Galette de soja à la tomate*,True,"[('Poulet', 'meat_or_fish'), ('Galette de soja à la tomate*', 'veg_positive')]"
Riz safrané,True,"[('Riz safrané', 'veg_positive')]"
Escalope de porc dijonnaise OU Rôti de dinde OU Mélange mexicain*,False,"[('Escalope de porc dijonnaise', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Mélange mexicain*', 'ambiguous -> nonveg')]"
Rôti de bœuf OU Boulette de lentilles*,True,"[('Rôti de bœuf', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Filet de saumon OU Omelette*,True,"[('Filet de saumon', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Saucisse de porc OU de Volaille OU Mélange indien végétal*,False,"[('Saucisse de porc', 'meat_or_fish'), ('de Volaille', 'ambiguous -> nonveg'), ('Mélange indien végétal*', 'ambiguous -> nonveg')]"
Blanquette de dinde OU Aiguillette de blé aux carottes*,False,"[('Blanquette de dinde', 'meat_or_fish'), ('Aiguillette de blé aux carottes*', 'ambiguous -> nonveg')]"
Sauté de bœuf provençale OU Galette de lentilles*,True,"[('Sauté de bœuf provençale', 'meat_or_fish'), ('Galette de lentilles*', 'veg_positive')]"
Filet de lieu sauce beurre citron OU Galette de soja à la tomate*,True,"[('Filet de lieu sauce beurre citron', 'ambiguous -> nonveg'), ('Galette de soja à la tomate*', 'veg_positive')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Fish and Chips,False,"[('Fish and Chips', 'ambiguous -> nonveg')]"
Escalope de porc OU Rôti de dinde OU Mélange indien mix*,False,"[('Escalope de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Mélange indien mix*', 'ambiguous -> nonveg')]"
Rôti de veau OU Galette de soja au citron*,True,"[('Rôti de veau', 'meat_or_fish'), ('Galette de soja au citron*', 'veg_positive')]"
Filet de lieu au curry OU Tortillas*,False,"[('Filet de lieu au curry', 'ambiguous -> nonveg'), ('Tortillas*', 'ambiguous -> nonveg')]"
Rôti de dinde OU Galette de lentilles*,True,"[('Rôti de dinde', 'meat_or_fish'), ('Galette de lentilles*', 'veg_positive')]"
Gratin de pâtes aux brocolis,True,"[('Gratin de pâtes aux brocolis', 'veg_positive')]"
Brandade de poisson OU Nugget's végé et purée*,True,"[('Brandade de poisson', 'meat_or_fish'), (""Nugget's végé et purée*"", 'heuristic_veg')]"
Parmentier de crécy OU Aiguillettes de blé*,False,"[('Parmentier de crécy', 'ambiguous -> nonveg'), ('Aiguillettes de blé*', 'ambiguous -> nonveg')]"
Filet de lieu à la crème OU Omelette*,True,"[('Filet de lieu à la crème', 'ambiguous -> nonveg'), ('Omelette*', 'veg_positive')]"
Poulet OU Aiguillette de blé*,False,"[('Poulet', 'meat_or_fish'), ('Aiguillette de blé*', 'ambiguous -> nonveg')]"
Coquillettes de poireaux à la béchamel,False,"[('Coquillettes de poireaux à la béchamel', 'ambiguous -> nonveg')]"
Escalope de porc OU Rôti de dinde OU Omelette*,True,"[('Escalope de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Pot au feu OU Boulette de lentilles*,True,"[('Pot au feu', 'ambiguous -> nonveg'), ('Boulette de lentilles*', 'heuristic_veg')]"
Filet de lieu sauce Suchet OU Mélange mix mexicain*,False,"[('Filet de lieu sauce Suchet', 'ambiguous -> nonveg'), ('Mélange mix mexicain*', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Saucisse de porc OU de Volaille OU Mix veggie indien*,False,"[('Saucisse de porc', 'meat_or_fish'), ('de Volaille', 'ambiguous -> nonveg'), ('Mix veggie indien*', 'ambiguous -> nonveg')]"
Timbale milanaise de porc OU de Volaille OU Timbale végétale*,False,"[('Timbale milanaise de porc', 'meat_or_fish'), ('de Volaille', 'ambiguous -> nonveg'), ('Timbale végétale*', 'ambiguous -> nonveg')]"
Parmentier de crécy OU Galette de soja à la tomate*,True,"[('Parmentier de crécy', 'ambiguous -> nonveg'), ('Galette de soja à la tomate*', 'veg_positive')]"
Filet de saumon à l'oseille OU Boulette de lentilles*,True,"[(""Filet de saumon à l'oseille"", 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Bolognaise végétale,False,"[('Bolognaise végétale', 'ambiguous -> nonveg')]"
Sauté de porc agenais OU Rôti de dinde OU Mélange mix mexicain*,False,"[('Sauté de porc agenais', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Mélange mix mexicain*', 'ambiguous -> nonveg')]"
Émincé de volaille à la crème OU Galette de soja au citron*,True,"[('Émincé de volaille à la crème', 'ambiguous -> nonveg'), ('Galette de soja au citron*', 'veg_positive')]"
Rôti de boeuf OU Omelette*,True,"[('Rôti de boeuf', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Filet de lieu sauce beurre blanc OU Aiguilette de blé aux carottes*,False,"[('Filet de lieu sauce beurre blanc', 'ambiguous -> nonveg'), ('Aiguilette de blé aux carottes*', 'ambiguous -> nonveg')]"
Rôti de dinde OU Galette de soja au citron*,True,"[('Rôti de dinde', 'meat_or_fish'), ('Galette de soja au citron*', 'veg_positive')]"
Carbonara de porc OU de Volaille OU Végétarienne*,True,explicit_label
Galette de tomate fromage,True,"[('Galette de tomate fromage', 'veg_positive')]"
Blanquette de veau OU Mélange couscous*,False,"[('Blanquette de veau', 'meat_or_fish'), ('Mélange couscous*', 'ambiguous -> nonveg')]"
Filet de lieu à l'oseille OU Mix veggie mexicain*,False,"[(""Filet de lieu à l'oseille"", 'ambiguous -> nonveg'), ('Mix veggie mexicain*', 'ambiguous -> nonveg')]"
Poulet OU Aiguillette de blé aux carottes*,False,"[('Poulet', 'meat_or_fish'), ('Aiguillette de blé aux carottes*', 'ambiguous -> nonveg')]"
Rôti de veau OU Galettes de lentilles*,True,"[('Rôti de veau', 'meat_or_fish'), ('Galettes de lentilles*', 'heuristic_veg')]"
"Gnocchis à la romaine, sauce provençale",False,"[('Gnocchis à la romaine', 'ambiguous -> nonveg'), ('sauce provençale', 'ambiguous -> nonveg')]"
Filet de saumon OU Omelette*,True,"[('Filet de saumon', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Lasagnes OU Lasagnes de légumes*,True,"[('Lasagnes', 'ambiguous -> nonveg'), ('Lasagnes de légumes*', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Filet de lieu sauce beurre blanc,False,"[('Filet de lieu sauce beurre blanc', 'ambiguous -> nonveg')]"
Haricots blancs à la provençale,True,"[('Haricots blancs à la provençale', 'heuristic_veg')]"
Poulet OU Galette de soja à la tomate*,True,"[('Poulet', 'meat_or_fish'), ('Galette de soja à la tomate*', 'veg_positive')]"
Escalope de porc dijonaise OU Rôti de dinde OU Aiguillettes de blé aux carottes*,False,"[('Escalope de porc dijonaise', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Aiguillettes de blé aux carottes*', 'ambiguous -> nonveg')]"
Bolognaise OU Mélange mexicain*,False,"[('Bolognaise', 'ambiguous -> nonveg'), ('Mélange mexicain*', 'ambiguous -> nonveg')]"
Filet de lieu sauce crème,False,"[('Filet de lieu sauce crème', 'ambiguous -> nonveg')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Rôti de porc OU Sauté de dinde OU Mélange mexicain*,False,"[('Rôti de porc', 'meat_or_fish'), ('Sauté de dinde', 'meat_or_fish'), ('Mélange mexicain*', 'ambiguous -> nonveg')]"
Galette de tomate fromage,True,"[('Galette de tomate fromage', 'veg_positive')]"
Bœuf bourguignon OU Galette de lentilles*,True,"[('Bœuf bourguignon', 'meat_or_fish'), ('Galette de lentilles*', 'veg_positive')]"
Filet de lieu,False,"[('Filet de lieu', 'ambiguous -> nonveg')]"
Bolognaise végétale,False,"[('Bolognaise végétale', 'ambiguous -> nonveg')]"
Sauté de porc agenais OU Rôti de dinde OU Aiguillette de blé aux carottes*,False,"[('Sauté de porc agenais', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Aiguillette de blé aux carottes*', 'ambiguous -> nonveg')]"
Blanquette de dinde OU Boulette de lentilles*,True,"[('Blanquette de dinde', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Lasagne OU Lasagne végétale *,True,"[('Lasagne', 'veg_positive'), ('Lasagne végétale *', 'veg_positive')]"
Filet de saumon à l'oseille,False,"[(""Filet de saumon à l'oseille"", 'meat_or_fish')]"
Sauté de porc agenais OU Sauté de dinde OU Mélange mix à la provençale*,False,"[('Sauté de porc agenais', 'meat_or_fish'), ('Sauté de dinde', 'meat_or_fish'), ('Mélange mix à la provençale*', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Poisson pané beurre citron,False,"[('Poisson pané beurre citron', 'meat_or_fish')]"
Rôti de boeuf OU Galette de soja à la tomate*,True,"[('Rôti de boeuf', 'meat_or_fish'), ('Galette de soja à la tomate*', 'veg_positive')]"
Filet de lieu à la crème,False,"[('Filet de lieu à la crème', 'ambiguous -> nonveg')]"
Paëlla végétarienne,True,explicit_label
Rôti de dinde OU Galette de lentilles*,True,"[('Rôti de dinde', 'meat_or_fish'), ('Galette de lentilles*', 'veg_positive')]"
Escalope de porc sauce dijonnaise OU Rôti de dinde OU Omelette*,True,"[('Escalope de porc sauce dijonnaise', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Ballotin de volaille à la châtaigne OU nuggets de blé,False,"[('Ballotin de volaille à la châtaigne', 'ambiguous -> nonveg'), ('nuggets de blé', 'ambiguous -> nonveg')]"
Filet de lieu à la ciboulette,False,"[('Filet de lieu à la ciboulette', 'ambiguous -> nonveg')]"
Poulet OU Galette de lentilles*,True,"[('Poulet', 'meat_or_fish'), ('Galette de lentilles*', 'veg_positive')]"
Tartiflette de porc OU Volaille OU Tartiflette végétarienne*,True,explicit_label
Rôti de veau OU Mélange mix indien*,False,"[('Rôti de veau', 'meat_or_fish'), ('Mélange mix indien*', 'ambiguous -> nonveg')]"
Galette tomate fromage,True,"[('Galette tomate fromage', 'veg_positive')]"
Filet de lieu sauce beurre citron,False,"[('Filet de lieu sauce beurre citron', 'ambiguous -> nonveg')]"
Blanquette de veau OU Galette de soja citron*,True,"[('Blanquette de veau', 'meat_or_fish'), ('Galette de soja citron*', 'veg_positive')]"
Boulette de lentilles sauce provençale,True,"[('Boulette de lentilles sauce provençale', 'heuristic_veg')]"
Chipolatas OU Rôti de dinde OU Omelette*,True,"[('Chipolatas', 'ambiguous -> nonveg'), ('Rôti de dinde', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Rôti de dinde OU Aiguillettes de blé*,False,"[('Rôti de dinde', 'meat_or_fish'), ('Aiguillettes de blé*', 'ambiguous -> nonveg')]"
Filet de saumon à l'oseille,False,"[(""Filet de saumon à l'oseille"", 'meat_or_fish')]"
Lasagnes OU Lasagnes de légumes*,True,"[('Lasagnes', 'ambiguous -> nonveg'), ('Lasagnes de légumes*', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Escalope de porc à la crème OU Rôti de dinde OU Boulette de lentilles*,True,"[('Escalope de porc à la crème', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Rôti de bœuf OU Galette de soja à la tomate*,True,"[('Rôti de bœuf', 'meat_or_fish'), ('Galette de soja à la tomate*', 'veg_positive')]"
Filet de lieu au curry,False,"[('Filet de lieu au curry', 'ambiguous -> nonveg')]"
Rôti de porc OU Rôti de dinde OU Galette de soja*,True,"[('Rôti de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Galette de soja*', 'veg_positive')]"
Coquillettes poireaux béchamel,False,"[('Coquillettes poireaux béchamel', 'ambiguous -> nonveg')]"
Blanquette de volaille OU Aiguillette de blé*,False,"[('Blanquette de volaille', 'ambiguous -> nonveg'), ('Aiguillette de blé*', 'ambiguous -> nonveg')]"
Sauté de bœuf flamand OU Boulette de lentilles*,True,"[('Sauté de bœuf flamand', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Filet de lieu sauce oseille,False,"[('Filet de lieu sauce oseille', 'ambiguous -> nonveg')]"
Bolognaise végétale,False,"[('Bolognaise végétale', 'ambiguous -> nonveg')]"
Nems aux légumes,True,"[('Nems aux légumes', 'veg_positive')]"
Escalope de porc aux champignons OU Rôti de dinde OU Tortillas*,False,"[('Escalope de porc aux champignons', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Tortillas*', 'ambiguous -> nonveg')]"
Rôti de veau OU Galette de soja à la tomate*,True,"[('Rôti de veau', 'meat_or_fish'), ('Galette de soja à la tomate*', 'veg_positive')]"
Filet de saumon au beurre blanc,False,"[('Filet de saumon au beurre blanc', 'meat_or_fish')]"
Riz safrané,True,"[('Riz safrané', 'veg_positive')]"
Rôti de porc OU Rôti de dinde OU Galette de soja au citron*,True,"[('Rôti de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Galette de soja au citron*', 'veg_positive')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Sauté de bœuf marocain OU Omelette*,True,"[('Sauté de bœuf marocain', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Filet de lieu à la crème,False,"[('Filet de lieu à la crème', 'ambiguous -> nonveg')]"
Rôti de porc OU Rôti de dinde OU Galette de soja à la tomate*,True,"[('Rôti de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Galette de soja à la tomate*', 'veg_positive')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Sauté de poulet tandorri OU Mélange provençale*,False,"[('Sauté de poulet tandorri', 'meat_or_fish'), ('Mélange provençale*', 'ambiguous -> nonveg')]"
Rôti de bœuf OU Tortillas*,False,"[('Rôti de bœuf', 'meat_or_fish'), ('Tortillas*', 'ambiguous -> nonveg')]"
Filet de lieu sauce tomate,False,"[('Filet de lieu sauce tomate', 'ambiguous -> nonveg')]"
Escalope de porc OU Rôti de dinde OU Galette de soja à la tomate*,True,"[('Escalope de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Galette de soja à la tomate*', 'veg_positive')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Rôti de veau OU Mélange mexicain*,False,"[('Rôti de veau', 'meat_or_fish'), ('Mélange mexicain*', 'ambiguous -> nonveg')]"
Gnocchi à la romaine,False,"[('Gnocchi à la romaine', 'ambiguous -> nonveg')]"
Filet de lieu sauce dieppoise,False,"[('Filet de lieu sauce dieppoise', 'ambiguous -> nonveg')]"
Falafels,False,"[('Falafels', 'ambiguous -> nonveg')]"
Tajine de veau OU Boulette de lentilles*,True,"[('Tajine de veau', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Croziflette OU Croziflette végétarienne*,True,explicit_label
Émincé de poulet sauce forestière OU Omelette*,True,"[('Émincé de poulet sauce forestière', 'meat_or_fish'), ('Omelette*', 'veg_positive')]"
Filet de saumon beurre citron,False,"[('Filet de saumon beurre citron', 'meat_or_fish')]"
Lasagne OU Lasagne végétale*,True,"[('Lasagne', 'veg_positive'), ('Lasagne végétale*', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
Rôti de dinde OU Aiguillette de blé*,False,"[('Rôti de dinde', 'meat_or_fish'), ('Aiguillette de blé*', 'ambiguous -> nonveg')]"
Rôti de bœuf OU Boulette de lentilles*,True,"[('Rôti de bœuf', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Filet de lieu beurre ciboulette,False,"[('Filet de lieu beurre ciboulette', 'ambiguous -> nonveg')]"
Sauté de porc sauce chataîgne OU Rôti de dinde OU Croustillant fromager*,False,"[('Sauté de porc sauce chataîgne', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Croustillant fromager*', 'ambiguous -> nonveg')]"
Bolognaise végétale,False,"[('Bolognaise végétale', 'ambiguous -> nonveg')]"
Poisson pané,False,"[('Poisson pané', 'meat_or_fish')]"
Parmentier épinards OU Omelette*,True,"[('Parmentier épinards', 'ambiguous -> nonveg'), ('Omelette*', 'veg_positive')]"
Filet de lieu sauce Suchet,False,"[('Filet de lieu sauce Suchet', 'ambiguous -> nonveg')]"
Filet de lieu sauce hollandaise,False,"[('Filet de lieu sauce hollandaise', 'ambiguous -> nonveg')]"
Haricots blancs à la provençale,True,"[('Haricots blancs à la provençale', 'heuristic_veg')]"
Poulet OU Pané de blé tomate mozzarella*,False,"[('Poulet', 'meat_or_fish'), ('Pané de blé tomate mozzarella*', 'ambiguous -> nonveg')]"
Escalope de porc à la crème OU Rôti de dinde OU Tortillas*,False,"[('Escalope de porc à la crème', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Tortillas*', 'ambiguous -> nonveg')]"
Sauté de bœuf aux champignons OU Mélange mexicain*,False,"[('Sauté de bœuf aux champignons', 'meat_or_fish'), ('Mélange mexicain*', 'ambiguous -> nonveg')]"
Filet de lieu au curry,False,"[('Filet de lieu au curry', 'ambiguous -> nonveg')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Sauté de poulet OU,False,"[('Sauté de poulet', 'meat_or_fish')]"
Jambon braisé sauce forestière OU Rôti de dinde OU Aiguillettes de blé*,False,"[('Jambon braisé sauce forestière', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Aiguillettes de blé*', 'ambiguous -> nonveg')]"
Sauté de bœuf aux champignons OU Galette de millet*,True,"[('Sauté de bœuf aux champignons', 'meat_or_fish'), ('Galette de millet*', 'veg_positive')]"
Filet de lieu beurre citron,False,"[('Filet de lieu beurre citron', 'ambiguous -> nonveg')]"
Sauté de porc sauce chataîgne OU Rôti de dinde OU Mélange indien*,False,"[('Sauté de porc sauce chataîgne', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Mélange indien*', 'ambiguous -> nonveg')]"
Gratin de boulgour,True,"[('Gratin de boulgour', 'veg_positive')]"
Blanquette de volaille OU Tortillas*,False,"[('Blanquette de volaille', 'ambiguous -> nonveg'), ('Tortillas*', 'ambiguous -> nonveg')]"
Rôti de veau OU Galette de tomate*,True,"[('Rôti de veau', 'meat_or_fish'), ('Galette de tomate*', 'veg_positive')]"
Filet de saumon à l'oseille,False,"[(""Filet de saumon à l'oseille"", 'meat_or_fish')]"
Couscous de légumes,True,"[('Couscous de légumes', 'veg_positive')]"
Rôti de porc OU Rôti de dinde OU Galette yumi texas*,True,"[('Rôti de porc', 'meat_or_fish'), ('Rôti de dinde', 'meat_or_fish'), ('Galette yumi texas*', 'veg_positive')]"
Coquillettes au thon,False,"[('Coquillettes au thon', 'meat_or_fish')]"
Bolognaise OU Croustillant fromager*,False,"[('Bolognaise', 'ambiguous -> nonveg'), ('Croustillant fromager*', 'ambiguous -> nonveg')]"
Filet de lieu sauce hollandaise,False,"[('Filet de lieu sauce hollandaise', 'ambiguous -> nonveg')]"
Poulet OU Galette de soja au citron*,True,"[('Poulet', 'meat_or_fish'), ('Galette de soja au citron*', 'veg_positive')]"
Fallafels sauce provençale,False,"[('Fallafels sauce provençale', 'ambiguous -> nonveg')]"
Brandade de poisson,False,"[('Brandade de poisson', 'meat_or_fish')]"
Sauté de bœuf goulash OU Boulette de lentilles*,True,"[('Sauté de bœuf goulash', 'meat_or_fish'), ('Boulette de lentilles*', 'heuristic_veg')]"
Filet de lieu beurre persillé,False,"[('Filet de lieu beurre persillé', 'ambiguous -> nonveg')]"
Timbale milanaise de porc OU de Volaille OU Timballe végé*,False,"[('Timbale milanaise de porc', 'meat_or_fish'), ('de Volaille', 'ambiguous -> nonveg'), ('Timballe végé*', 'ambiguous -> nonveg')]"
"Gnocchi à la romaine, sauce tomate",False,"[('Gnocchi à la romaine', 'ambiguous -> nonveg'), ('sauce tomate', 'ambiguous -> nonveg')]"
Œuf florentine,False,"[('Œuf florentine', 'ambiguous -> nonveg')]"
Blanquette de veau OU Croustillant fromager*,False,"[('Blanquette de veau', 'meat_or_fish'), ('Croustillant fromager*', 'ambiguous -> nonveg')]"
Filet de lieu à l'armoricaine,False,"[(""Filet de lieu à l'armoricaine"", 'ambiguous -> nonveg')]"
Filet de saumon beurre blanc,False,"[('Filet de saumon beurre blanc', 'meat_or_fish')]"
Rôti de veau OU Tortillas*,False,"[('Rôti de veau', 'meat_or_fish'), ('Tortillas*', 'ambiguous -> nonveg')]"
Galette fromage et tomate,True,"[('Galette fromage et tomate', 'veg_positive')]"
"Hamburger (galette végé, guacamole, fromage, salade)",True,"[('Hamburger', 'ambiguous -> nonveg'), ('galette végé', 'veg_positive'), ('guacamole', 'ambiguous -> nonveg'), ('fromage', 'veg_positive'), ('salade', 'veg_positive')]"
Lasagnes OU Lasagnes de légumes*,True,"[('Lasagnes', 'ambiguous -> nonveg'), ('Lasagnes de légumes*', 'veg_positive')]"
Omelette,True,"[('Omelette', 'veg_positive')]"
